pub_year,country,n_hits,n_metaphor,share_metaphor,lo95,hi95
2013,South Korea,382,78,0.20418848167539266,0.16680385270187162,0.2474633421953327
2013,Spain,249,36,0.14457831325301204,0.10629557725580074,0.19366100096691113
2013,Switzerland,81,9,0.1111111111111111,0.059567564076505305,0.19787094681537315
2013,UNKNOWN,18127,1905,0.10509185193357974,0.10071085508355379,0.10964019053574656
2013,United Kingdom,1358,111,0.0817378497790869,0.06831936009782381,0.09751599273117932
2013,United States,2878,374,0.1299513551077137,0.11815820105977629,0.1427310496377143
2014,Australia,427,33,0.07728337236533958,0.055556822368078296,0.10654795513375556
2014,Canada,454,62,0.13656387665198239,0.10801194017837798,0.17121453955106278
2014,China,1649,416,0.25227410551849605,0.23190371074227206,0.273796006771511
2014,France,292,42,0.14383561643835616,0.10820575181779127,0.1887149677150777
2014,Germany,457,42,0.09190371991247265,0.06871129192823844,0.1218997243754657
2014,India,1284,350,0.27258566978193144,0.2489347953149499,0.29759323730889314
2014,Italy,406,71,0.1748768472906404,0.141022094201353,0.2148263825251068
2014,Japan,248,28,0.11290322580645161,0.07927815279648447,0.1583374451313373
2014,Netherlands,153,15,0.09803921568627451,0.06031594280007543,0.15545263698202608
2014,South Korea,502,107,0.21314741035856574,0.17957095888966876,0.2510806909940006
2014,Spain,299,28,0.09364548494983277,0.06558556658022505,0.13201438903260587
2014,Switzerland,100,5,0.05,0.02154367915436796,0.11175046923191913
2014,UNKNOWN,20557,2356,0.11460816266965024,0.11032542360348899,0.11903491012923265
2014,United Kingdom,1415,105,0.07420494699646643,0.061670997838986163,0.08904454369758119
2014,United States,3622,472,0.13031474323578135,0.11974166167959724,0.1416711633392275
2015,Australia,430,45,0.10465116279069768,0.07913598389155865,0.13716759178740526
2015,Canada,384,41,0.10677083333333333,0.07968517190376148,0.14164613981755741
2015,China,1920,514,0.2677083333333333,0.24838171128631412,0.2879626190064783
2015,France,340,45,0.1323529411764706,0.10040713056305364,0.1725135903487036
2015,Germany,450,56,0.12444444444444444,0.09708868974109144,0.15815784309376205
2015,India,1514,401,0.26486129458388374,0.2432496613997432,0.28766313857529685
2015,Italy,389,56,0.14395886889460155,0.11255221179020108,0.18232872864935684
2015,Japan,248,35,0.14112903225806453,0.1032571958812779,0.18994893136430685
2015,Netherlands,191,12,0.06282722513089005,0.03630163469804389,0.10659125364927471
2015,South Korea,340,68,0.2,0.16093959858385234,0.24576370968014158
2015,Spain,316,35,0.11075949367088607,0.080724350434346,0.15014459036200736
2015,Switzerland,72,11,0.1527777777777778,0.08750708729475694,0.25322289367500544
2015,UNKNOWN,22743,2505,0.1101437805038913,0.10614065061724368,0.11427858727551632
2015,United Kingdom,1456,101,0.06936813186813187,0.057418543750684906,0.08358406826375898
2015,United States,3585,501,0.1397489539748954,0.12878422964382366,0.1514848963016889
2016,Australia,430,43,0.1,0.07509094936931932,0.13199266837645596
2016,Canada,477,70,0.14675052410901468,0.11781875284282645,0.18132653960653494
2016,China,2189,583,0.2663316582914573,0.24823502509791784,0.28524698023129214
2016,France,391,50,0.1278772378516624,0.09835940991150666,0.16463591770896685
2016,Germany,628,88,0.14012738853503184,0.11516113731615196,0.1694695343658879
2016,India,1829,515,0.28157463094587204,0.26143654032945235,0.302628318551413
2016,Italy,371,55,0.14824797843665768,0.11569975901587527,0.18800586409971065
2016,Japan,267,56,0.20973782771535582,0.1651944774012559,0.2625150000365575
2016,Netherlands,246,20,0.08130081300813008,0.05324417745069522,0.12223293922815916
2016,South Korea,438,86,0.1963470319634703,0.16185391065088606,0.23612019365799275
2016,Spain,309,41,0.13268608414239483,0.09933555546212267,0.17505729241771792
2016,Switzerland,105,14,0.13333333333333333,0.08111392144662205,0.21143506830139186
2016,UNKNOWN,24368,2718,0.1115397242284964,0.10764828954779668,0.11555361614373647
2016,United Kingdom,1788,154,0.08612975391498881,0.073996527257194,0.10003754103919063
2016,United States,3855,520,0.13488975356679636,0.12446892730930745,0.14603751094682757
2017,Australia,508,39,0.07677165354330709,0.05666631493622519,0.10322979627223484
2017,Canada,596,76,0.12751677852348994,0.1031031578644858,0.15670125633369753
2017,China,2482,681,0.27437550362610796,0.25718028314157854,0.2922680551561751
2017,France,462,56,0.12121212121212122,0.09453389350508257,0.15413753027491717
2017,Germany,598,59,0.09866220735785954,0.07726192594423924,0.12518584004955252
2017,India,2225,505,0.22696629213483147,0.2100409536597625,0.24483279018971232
2017,Italy,451,61,0.1352549889135255,0.10675532071485358,0.16991571790808532
2017,Japan,296,49,0.16554054054054054,0.12753934561629493,0.21211167936619607
2017,Netherlands,277,28,0.10108303249097472,0.0708651553020225,0.14221399288350398
2017,South Korea,369,96,0.2601626016260163,0.21803273849878854,0.30723464844939335
