pub_year,lexeme,target,n_docs,n_pos,prevalence,prev_lo95,prev_hi95,std_prev,std_lo95,std_hi95,L_star
2014,fight,any,668201,847,0.0012675826585114359,0.0011850904762466731,0.001355809190259749,0.00156383883802628,0.0015624965880561984,0.0015651822392377121,250
2015,fight,any,692692,956,0.0013801227674060043,0.0012954192020410888,0.0014703566899953396,0.001641273457965473,0.0016399652506744317,0.0016425827071021091,250
2016,fight,any,744227,1090,0.0014646069008514876,0.0013802587232191708,0.001554101608502622,0.0017225356946070788,0.001721251853044535,0.0017238204921035086,250
2017,fight,any,767947,1064,0.001385512281446506,0.001304776326307219,0.001471236595002938,0.0018078140770369689,0.001806539296305487,0.0018090897556845421,250
2018,fight,any,826130,1166,0.0014114001428346629,0.0013327308004421282,0.001494706282507979,0.001897306352246314,0.0018960188176628105,0.0018985947594962293,250
2019,fight,any,885697,1302,0.0014700286892695808,0.0013923717019926015,0.0015520101217001126,0.0019912199289187247,0.0019898911334752514,0.0019925496099242506,250
2020,fight,any,1023857,2413,0.00235677443236702,0.002264699501719329,0.0024525836125943536,0.002089772341879456,0.002088367894793589,0.0020911777314899615,250
2021,fight,any,1172890,3058,0.0026072351200879876,0.0025165625018591952,0.002701165857264051,0.00219319173809648,0.0021916730309574747,0.0021947114953000633,250
2022,fight,any,1221578,3055,0.0025008636370334107,0.0024138439943505,0.0025910122103876988,0.0023017173851538546,0.0023000435342128683,0.00230339245142336,250
2023,fight,any,1176462,2627,0.0022329663006539946,0.002149283013925849,0.0023199002581536505,0.002415600203148773,0.0024137296163967005,0.0024174722360509617,250
2024,fight,any,1227755,2170,0.001767453604342886,0.0016946974046270886,0.001843327582152359,0.002535103320994715,0.0025329945657090657,0.002537213827384634,250
2025,fight,any,1127750,1612,0.0014293948126801153,0.0013613445374512161,0.0015008416419771584,0.0026605026581441077,0.0026581146810223887,0.0026628927748308844,250
2010,fight,title,387434,56,0.0001445407475853952,0.00011131985029484335,0.00018767381120325915,0.0001696469766813632,0.00016924610806336862,0.00017004879461701125,250
2011,fight,title,509457,75,0.00014721556480723594,0.00011745722581971529,0.00018451192725626062,0.00017721653538765398,0.0001768341959686003,0.00017759970132933715,250
2012,fight,title,552351,102,0.00018466518572429487,0.00015213936396739043,0.00022414313275476275,0.00018512378127862603,0.00018476161054911482,0.0001854866618054949,250
2013,fight,title,616976,111,0.0001799097533777651,0.00014941159215913706,0.00021663190496177745,0.00019338377328366392,0.0001930431895572811,0.00019372495778129925,250
2014,fight,title,668201,126,0.0001885660153157508,0.00015839240293788164,0.0002244863835464285,0.0002020122413543719,0.0002016942498484853,0.00020233073410476287,250
2015,fight,title,692692,156,0.00022520831769386684,0.0001925351524545489,0.0002634246496940111,0.00021102561631768015,0.00021073050173913777,0.00021132114409794396,250
2016,fight,title,744227,162,0.00021767552104398256,0.00018664012074831203,0.00025387032380417163,0.00022044106105274913,0.00022016790322931283,0.00022071455770270436,250
2017,fight,title,767947,155,0.0002018368455114741,0.0001724672271342312,0.00023620666431500812,0.0002302765030499839,0.00023002245557885757,0.00023053083103822546,250
2018,fight,title,826130,170,0.00020577875152820986,0.00017708567278676405,0.0002391198396439154,0.000240550668412994,0.00024031003309852344,0.00024079154463046537,250
2019,fight,title,885697,225,0.00025403721588760037,0.00022294471350060906,0.00028946471141670345,0.00025128311736697767,0.00025104655235899225,0.00025151990523770756,250
2020,fight,title,1023857,436,0.0004258407179908913,0.00038770809602684816,0.00046772207900824255,0.0002624942813397554,0.0002622488975055683,0.0002627398947169533,250
2021,fight,title,1172890,477,0.00040668775417984637,0.0003717984362972346,0.00044484960546360464,0.0002742055016845448,0.0002739363495533896,0.0002744749181945625,250
2022,fight,title,1221578,426,0.0003487292665715984,0.00031715353731887356,0.00038344746195485737,0.00028643907011654786,0.0002861312233273611,0.00028674724802116416,250
2023,fight,title,1176462,373,0.0003170523144818957,0.0002864722629553238,0.00035089554866841934,0.0002992182709385414,0.00029885814207337476,0.000299578833634735,250
2024,fight,title,1227755,332,0.0002704122565169761,0.00024285037365650138,0.0003011012854715781,0.0003125674251338795,0.0003121429831643565,0.0003129924440652172,250
2025,fight,title,1127750,269,0.0002385280425626247,0.00021167866356544844,0.00026878208850770617,0.00032651193640870647,0.00032601234852578184,0.00032701228961972036,250
2010,fight,abstract,387434,425,0.0010969610307820172,0.0009975575742931413,0.0012062577670419305,0.0012139590924764396,0.0012124557391663632,0.0012154643075623576,250
2011,fight,abstract,509457,531,0.0010422861988352305,0.0009573633163147192,0.0011347336067161066,0.001272792104084947,0.0012713266961761425,0.0012742591989562705,250
2012,fight,abstract,552351,581,0.001051867381429562,0.0009697818059725679,0.0011408930199085592,0.0013344725745751001,0.0013330469967554213,0.001335899674886926,250
2013,fight,abstract,616976,671,0.001087562563211535,0.001008366413632896,0.001172971400644007,0.0013991379399676286,0.001397752504239456,0.001400524746997356,250
2014,fight,abstract,668201,781,0.0011688099838222331,0.0010897035233716431,0.001253651929429565,0.0014669322322683532,0.001465584976437091,0.0014682807247589143,250
2015,fight,abstract,692692,859,0.0012400893903784078,0.0011599322358638738,0.001325778455273651,0.001538006392303648,0.0015366921893374976,0.0015393217174637867,250
