pub_year,country,n_hits,n_metaphor,share_metaphor,lo95,hi95
2012,Netherlands,260,47,0.18076923076923077,0.13875047793720163,0.2320838073871032
2012,South Korea,183,62,0.33879781420765026,0.2741657710426106,0.4100584885387683
2012,Spain,259,56,0.21621621621621623,0.1704239987527989,0.2703035004037142
2012,Switzerland,170,42,0.24705882352941178,0.18829112263715733,0.31700525152233894
2012,UNKNOWN,2720,599,0.2202205882352941,0.20504792556180026,0.23618240189677345
2012,United Kingdom,919,214,0.23286180631120784,0.2066820640298795,0.2612655500408489
2012,United States,3470,759,0.21873198847262249,0.2052927775839461,0.23279326544961587
2013,Australia,325,85,0.26153846153846155,0.21674328047688735,0.3119049606668301
2013,Canada,482,95,0.1970954356846473,0.16403652751378556,0.2349443649181091
2013,China,890,237,0.2662921348314607,0.23830179256379058,0.29629128779202885
2013,France,489,108,0.22085889570552147,0.18634657990076764,0.25972274906101717
2013,Germany,653,165,0.25267993874425726,0.22086289505388304,0.2873898261127735
2013,India,429,91,0.21212121212121213,0.17607864865266656,0.2532736119349208
2013,Italy,478,130,0.2719665271966527,0.23401195001633823,0.31355707707909997
2013,Japan,480,149,0.3104166666666667,0.2706692248972474,0.35317450184001214
2013,Netherlands,287,48,0.1672473867595819,0.12852766293425308,0.2147571604383566
2013,South Korea,243,78,0.32098765432098764,0.2654668435588911,0.3820802078333269
2013,Spain,348,76,0.21839080459770116,0.17818565377335477,0.2647452598916953
2013,Switzerland,182,40,0.21978021978021978,0.16575544233741624,0.2853896323554546
2013,UNKNOWN,3762,828,0.22009569377990432,0.20714558954423218,0.23361684747575007
2013,United Kingdom,997,190,0.1905717151454363,0.1673980654813444,0.21612067810965357
2013,United States,3565,852,0.23899018232819075,0.22527663758176308,0.2532656228483323
2014,Australia,282,49,0.17375886524822695,0.13399992668300065,0.22228659396682005
2014,Canada,417,111,0.26618705035971224,0.22604188485651738,0.31060072505544306
2014,China,1037,318,0.30665380906460943,0.27934560411196313,0.3353891889713701
2014,France,477,98,0.20545073375262055,0.17161449141321647,0.2439933043680018
2014,Germany,684,179,0.26169590643274854,0.23015099967359784,0.2959025758713717
2014,India,421,107,0.25415676959619954,0.21491922288488602,0.29784019429957215
2014,Italy,481,141,0.29313929313929316,0.2542267533026897,0.3353297988864768
2014,Japan,516,186,0.36046511627906974,0.3202093733067851,0.402783093806791
2014,Netherlands,318,53,0.16666666666666666,0.12973576148164181,0.21155482060551414
2014,South Korea,243,79,0.32510288065843623,0.26932700065564086,0.38632241737123896
2014,Spain,345,89,0.2579710144927536,0.21464656168223595,0.30662593682018924
2014,Switzerland,149,43,0.28859060402684567,0.22187411168999904,0.36593406230872993
